breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Schapendoes,"The charming Schapendoes, often called the Dutch Sheep Dog, is a lively and shaggy herding breed with deep roots in the Netherlands. Once a common sight across the Dutch countryside in the late 19th and early 20th centuries, their numbers faced a drastic decline with the introduction of more widely imported herding breeds like the Border Collie. Fortunately, dedicated breed enthusiasts spearheaded a revival, and the breed was successfully resuscitated following the founding of the Nederlandse Schapendoes breed club in 1947.

This medium-sized, lightly-built dog is distinguished by its long, shaggy coat and remarkably agile, springy movements. The Schapendoes possesses an astounding natural jumping ability, making them outstanding competitors in agility and various other dog sports. Their effortless gait is a hallmark of the breed's working heritage.

Beyond their athletic prowess, Schapendoes are renowned for their delightful temperament. They are intelligent, watchful, and courageous, coupled with a cheerful, friendly, and high-spirited nature. These clever and funny dogs develop deep affection and unwavering loyalty towards their familiar people, making them excellent and devoted family pets. Their strong desire to please further enhances their trainability and makes them a joy to live with.
","Friendly, Watchful, Lively",,40.64,50.8,11.79,24.95,12,15,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
Schipperke,"The Schipperke, Belgium's ""little captain,"" is a small but mighty dog, traditionally serving as a vigilant watchdog and expert ratter on the barges of the Low Countries. Standing no higher than 13 inches, these compact canines are built for hard work and possess an enduring spirit.

Their distinctive appearance is immediately striking. Adorned with a profuse black coat that forms a pronounced ruff around the neck, a cape over the shoulders, and breeches on the legs, the Schipperke's silhouette accentuates its thick, substantial body. A clever, foxy face completes their alert and unique look.

Don't let their size deceive you; Schipperkes possess powerful jaws, strong necks, and robust forequarters. Combined with a stealthy, catlike hunting style, these attributes made them formidable rat catchers.

Beyond their working prowess, Schipperkes are renowned for their spirited personalities. They are curious, lively, and intensely alert, often displaying a mischievous streak that keeps life interesting. As robust and long-lived companions, they ensure there's never a dull moment with their human families. This unique blend of vigilance, intelligence, and playful charm truly sets the Schipperke apart.","Confident, Alert, Curious",105,25.4,33.02,4.54,7.26,12,14,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
Scottish Deerhound,"The Scottish Deerhound, affectionately known as the ""Royal Dog of Scotland,"" is a magnificent and ancient breed that truly commands attention. To fully appreciate this grand coursing hound, one must indeed ""stand back"" and take in its impressive stature and noble bearing.

While undeniably struck from the classic Greyhound template, the Deerhound is a significantly more substantial and imposing creature. Males can tower up to 32 inches at the shoulder and weigh a robust 110 pounds, placing them among the tallest of all dog breeds. Their distinctive appearance is further defined by a crisp, wiry coat, which comes in several colors, though breed enthusiasts often favor the striking dark blue-gray. A gracefully tapered head and a long, elegant neck contribute to their stately silhouette, adding an extra dimension of lift and regality.

Bred centuries ago in the Scottish Highlands, the Deerhound's original purpose was to track and bring down the formidable wild red deer – a task requiring immense speed, strength, and endurance. This heritage is evident in their athletic build and keen gaze. Today, while their hunting days are largely behind them, they retain the dignified composure and gentle nature that belies their powerful physique, making them cherished companions for those who can provide the space and respect this ancient beast deserves.","Gentle, Dignified, Polite",158,71.12,81.28,34.02,49.90,8,11,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Scottish Terrier,"The Scottish Terrier, affectionately known as the Scottie, is instantly recognizable by its distinctive, substantial silhouette. Though short-legged, this hardy terrier boasts a powerful build, complemented by unique furnishings: a long beard, prominent eyebrows, and an impressive skirt of hair on its legs and lower body. Its double coat consists of a wiry, dense topcoat and a soft, thick undercoat, coming in classic black, wheaten yellow, or a striking brindle pattern. Bright, piercing eyes, erect ears, and an alert tail perfectly convey the keen vigilance characteristic of Britain’s terrier breeds.

A Scottie's working style is often described as efficient and businesslike. Their inherent aloofness toward strangers makes them exceptional watchdogs, quick to alert their families. While intelligent and bold, their strong hunting instinct remains, which can pose a challenge for the neighbor's cat. Scotties are also known for being rather particular around other dogs.

Beneath their dignified exterior lies a vivid personality. This clever Scotsman thrives on brisk walks and engaging play. A solidly compact dog, the Scottish Terrier is an independent and confident companion of high spirits. Their dignified, almost-human character is truly captivating. Renowned for their unwavering terrier persistence, the breed has earned the enduring nickname, ""the Diehard.""","Confident, Independent, Spirited",57,25.4,25.4,8.16,9.98,12,12,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Sealyham Terrier,"The Sealyham Terrier, typically standing under 11 inches at the shoulder and weighing around 24 pounds, defies its small stature. They are renowned as one of the most substantial and robust breeds among small terriers. Built low to the ground with powerful musculature, the Sealy moves with an easy, determined stride. Their predominantly white, weatherproof coat is complemented by a distinctive, long, broad head adorned with lavish facial hair, including the breed's signature ""fall""—a mass of hair elegantly covering the forehead.

While they possess the tenacious spirit of a terrier, earning them a reputation as a ""bruiser"" among short-legged varieties, Sealyhams are surprisingly affectionate, humorous, and outgoing companions. Their natural alertness and surprisingly deep bark make them excellent watchdogs. Highly adaptable, they thrive equally well in bustling city apartments or sprawling country homes. Brave and spirited, yet generally less ""spiky"" than some smaller terriers, Sealyhams are known for their charmingly sly sense of humor and are quite trainable, though their independent terrier streak can sometimes manifest as a delightful stubbornness.","Alert, Outgoing, Sense Of Humor",164,26.67,26.67,10.43,10.89,12,14,Terrier Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Segugio Italiano,"The Segugio Italiano, an ancient Italian scenthound, is a breed that masterfully balances a serene disposition with an ardent working drive. Far more than just ""calm,"" these hounds possess a quiet dignity indoors, settling peacefully after a day's exertions. This inherent tranquility, however, coexists with an extraordinary ""responsiveness"" to their environment and their people, making them attentive and receptive companions.

Their keen ""intelligence"" is evident in their independent problem-solving abilities, particularly when tracking. This sharp wit, coupled with an unparalleled endurance, defines them as ""tenacious hunters."" Whether trailing hares or wild boar, the Segugio displays unwavering focus, tirelessly navigating challenging terrain while their distinctive, resonant bay – often described as ""copper-toned"" – echoes their pursuit. This powerful voice and relentless drive are hallmarks of their exceptional field performance.

Despite their formidable hunting prowess, the Segugio Italiano transforms into an ""excellent pet"" within a loving home. Deeply devoted and affectionate with their families, they are known for their gentle nature, often forming strong bonds with children and other pets when properly socialized. They thrive in environments where their significant need for daily exercise and mental stimulation is met, reveling in long walks, runs, or secure off-leash play. Offering a unique blend of a dedicated worker and a loyal, gentle companion, the Segugio Italiano is a truly captivating and rewarding breed.","Friendly, Intelligent, Eager to Please",,48.26,58.42,18.14,27.22,11,13,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,,,1,Eager to Please,,
Shetland Sheepdog,"The Shetland Sheepdog, affectionately known as the Sheltie, is a captivating and intelligent herding dog originating from Scotland's remote and rugged Shetland Islands. Often described as a ""miniature Collie,"" Shelties stand gracefully between 13 and 16 inches at the shoulder, embodying elegance and agility.

Their most striking feature is their luxuriant double coat: a long, harsh, and straight outer coat flowing over a dense, soft undercoat, creating an impressive mane and feathered legs. This beautiful coat comes in classic colors such as black, blue merle, and sable, all typically adorned with distinctive white markings. Shelties possess a refined, wedge-shaped head, small, expressive ears (three-quarters erect), and a well-proportioned body with a deep chest and level back, contributing to their striking, refined appearance.

Beyond their beauty, Shelties are celebrated for their sharp minds and eager-to-please disposition. Their exceptional intelligence and trainability make them world-class competitors in dog sports like obedience, agility, and herding trials. As family companions, they are deeply sensitive and affectionate, often remarkably attuned to the mood of their household. While known for their propensity to bark and their reserved nature towards strangers, these traits also qualify them as vigilant and excellent watchdogs, always alert to their surroundings.

Intelligent, loyal, and full of character, the versatile Sheltie thrives on companionship and mental stimulation, making them a cherished and active member of many homes.","Playful, Energetic, Bright",25,33.02,40.64,6.80,11.34,12,14,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1,Eager to Please,0.4,Reserved with Strangers
Shiba Inu,"The Shiba Inu, an ancient Japanese breed, originally served as a nimble and tenacious hunter in its homeland. Though relatively new to Western shores, having been introduced to America as recently as 60 years ago, this spirited canine is rapidly gaining popularity and stands as the most beloved companion dog in Japan.

Physically, the Shiba is a sturdy and well-muscled dog, built for agility. Their distinctive appearance is instantly recognizable: white markings beautifully contrast with their rich coats, which come in striking shades of red, red sesame, or black and tan. Combined with an alert expression and a smooth, agile stride, these features lend them an unmistakable, almost fox-like charm.

Beyond their captivating looks, Shibas possess a bold, confident, and good-natured personality. Intelligent and remarkably adaptable, they are equally at home thriving in bustling city environments or sprawling country settings, making them versatile companions for a wide variety of lifestyles. Their unique blend of ancient heritage, striking beauty, and spirited temperament makes the Shiba Inu a truly fascinating and increasingly sought-after breed worldwide.","Alert, Active, Attentive",44,34.29,41.91,7.71,10.43,13,16,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Shih Tzu,"The Shih Tzu, pronounced ""sheed-zoo"" or ""sheet-su"" (and ""sher-zer"" in its native China), is a delightful small dog with an undeniably big personality. Weighing between 9 to 16 pounds and standing 8 to 11 inches tall, these charming canines are surprisingly robust for their compact size.

A hallmark of the breed is their magnificent double coat, which comes in a stunning array of colors. While it does require consistent grooming, the effort is well worth it—few dogs are as breathtakingly beautiful as a well-cared-for Shih Tzu.

Bred for centuries to be cherished companions in royal palaces, the Shih Tzu truly excels as a pampered lap dog. Their very purpose seems to be radiating charm and affection. Known for their lively and engaging nature, they thrive on human companionship, often melting hearts with their distinctive ""chrysanthemum"" faces, big, dark eyes, and perpetually sweet expressions. They are especially affectionate with children, making them wonderful family additions.

Ideal for apartment living or homes without large backyards, a Shih Tzu's idea of fun isn't digging or chasing, but rather snuggling in your lap, providing endless cuddles and amusing antics. It’s no wonder this little ""Lion Dog"" has been delighting owners for over a thousand years. Where a Shih Tzu goes, giggles, charm, and a touch of playful mischief are sure to follow.","Affectionate, Playful, Outgoing",20,22.86,26.67,4.08,7.26,10,18,Toy Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Shikoku,"Hailing from the rugged, mountainous terrain of Kochi Prefecture on Japan’s Shikoku Island, the **Shikoku** (also known as the Kochi-ken) is a primitive Japanese breed with a storied past. Historically, these agile dogs were the esteemed companions of the Matagi hunters, valued for their unparalleled ability to track elusive game, particularly wild boar, through dense forests.

A true athlete, the Shikoku is a medium-sized dog defined by its powerful, well-balanced physique and clean-cut muscles. Its strong, compact conformation provides both agility and stamina. Distinctive features include keen, pricked ears and a proudly carried curled or sickle tail.

Built for the elements, the Shikoku’s coat consists of a harsh, straight outer layer providing protection, and a soft, dense undercoat for insulation. The tail features longer, more luxurious hair. Their striking coats come in rich red, classic black and tan, or the unique ""sesame"" – a beautiful blend of black, red, and white hairs.

Beyond its impressive physical attributes, the Shikoku possesses a remarkable temperament. Highly energetic and alert, with keen senses and extraordinary endurance, it is an enthusiastic and persistent hunter. Yet, despite its strong prey drive, the Shikoku displays a profound docility and unwavering loyalty towards its family, making it a devoted, albeit spirited, companion for experienced owners.","Energetic, Alert, Enthusiastic",,43.18,55.88,15.88,24.95,10,12,Foundation Stock Service,0.4,Weekly Brushing,,,0.6,Regular Exercise,,,,
Siberian Husky,"The Siberian Husky is a strikingly beautiful and athletic breed, renowned for its sled-pulling heritage. This graceful, medium-sized dog, weighing up to 60 pounds, possesses a powerful yet agile build, noticeably lighter than its burly cousin, the Alaskan Malamute. Their most captivating feature might be their almond-shaped eyes, which can be brown, blue, or captivatingly mismatched (heterochromia), always conveying a keen, amiable, and often mischievous expression. Their thickly coated double-layer fur provides insulation, while their seemingly effortless, powerful gait speaks to their endurance.

Bred as born pack dogs, Siberians thrive on companionship, excelling in family environments and typically getting along well with other canines. This innate friendliness, however, makes them indifferent watchdogs. They are highly energetic and possess a strong prey drive, making a securely fenced yard or regular leash walks essential to prevent them from chasing smaller animals. An appealing characteristic is their natural cleanliness and lack of typical ""doggy odor,"" making them quite fastidious. Historically, these compact sled dogs were developed to work in teams, pulling light loads at moderate speeds across vast, frozen expanses, showcasing remarkable endurance. Their dignified yet playful nature makes them cherished companions for active families who understand their unique needs.","Loyal, Mischievous, Outgoing",14,50.8,59.69,15.88,27.22,12,14,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly
Silky Terrier,"**The Silky Terrier: A True Terrier in a Toy Package**

Don't let their dainty appearance fool you; the Silky Terrier is a true dynamo, compact yet robust, and brimming with the feisty spirit of a working terrier. Standing about 10 inches tall, these curious and high-spirited dogs embody the perfect blend of refinement and tenacity.

The Silky’s signature feature is its glorious, straight, blue-and-tan coat. Glossy and flowing, it famously feels and behaves much like human hair, requiring regular grooming to maintain its stunning appearance. Their distinctive wedge-shaped head is adorned with profuse hair often parted down the middle, framed by alert, V-shaped erect ears. Piercing, almond-shaped eyes complete an expression of keen intelligence and boundless curiosity.

Originating in Sydney, Australia, the Silky Terrier was bred to be a ratting terrier, and despite being a cherished member of the AKC Toy Group, they retain their keen instincts and energetic disposition. They are more refined than many traditional earthdogs, but never lose their true terrier nature, always ready for adventure. Larger and sturdier than their close cousin, the Yorkshire Terrier, Silkys are spirited, playful, and make charming companions for those who appreciate a bold personality in a beautiful, manageable size. Their vivacious nature ensures there's never a dull moment with a Silky Terrier by your side.","Friendly, Quick, Keenly Alert",112,22.86,25.4,4.54,4.54,13,15,Toy Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Skye Terrier,"Meet the Skye Terrier, often called ""the heavenly breed with the heart of a lion."" This unique earthdog is among the AKC’s most distinctive-looking breeds, instantly recognizable by its remarkably long, low, and level silhouette. Standing just 9 or 10 inches high, a Skye is typically twice as long as it is tall, giving it a truly unique profile.

Their signature feature is a luxurious, flat-lying double coat that often creates a charming ""peekaboo"" hairdo over their eyes. Skyes boast large, feathery ears that can be either erect, standing up like ""bat wings,"" or elegant drop ears, lying flat against their long, substantial head. Don't let their aristocratic appearance fool you; beneath that profuse coat are short, muscular legs and a deep chest, indicative of their tenacious spirit.

Originally bred on Scotland's remote Isle of Skye as a fearless exterminator of badgers and foxes, this elegant yet sturdy terrier possesses a courageous and unwavering loyalty. The Skye Terrier embodies both beauty and bravery, making it a truly special companion.","Courageous, Good-Tempered, Canny",178,24.13,25.4,15.88,20.41,12,14,Terrier Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Sloughi,"The Sloughi (SLOO-ghee), often called the ""Arabian Greyhound,"" is a sighthound of profound antiquity and striking elegance. Bred in the unforgiving deserts of North Africa, its lean, athletic frame is a testament to its original purpose: swiftly coursing game like hare, fox, jackal, gazelle, and even wild pigs across challenging terrain. Standing between 24 and 29 inches at the shoulder, the Sloughi embodies a ""no-frills"" functionality, every line honed for speed and endurance.

Its short, fine coat comes in a beautiful spectrum of shades, from light sand to rich mahogany red-fawn, which may or may not include brindling or subtle black markings. Notably, significant white markings are undesirable, maintaining the breed's classic, unblemished aesthetic. Perhaps its most captivating feature are its large, dark eyes, frequently described as possessing a deep, almost ""melancholy"" expression – a window into its dignified soul.

True to its sighthound heritage, the Sloughi carries itself with a regal aloofness, especially around strangers. This reserve is not shyness, but rather a dignified watchfulness. However, within the embrace of its chosen family, the Sloughi transforms into a remarkably gentle, sensitive, and deeply devoted companion. They form strong bonds and appreciate quiet companionship, often preferring the comfort of a soft couch to boisterous play. Their ancient spirit and graceful presence make the Sloughi a truly unique and cherished breed for those who understand and appreciate its subtle charms.","Reserved, Graceful, Noble",192,60.96,73.66,15.88,22.68,10,15,Hound Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Slovakian Wirehaired Pointer,"The Slovakian Wirehaired Pointer, known in its homeland as the Slovensky Hrubosrsty Stavac (SHS), is a remarkable gundog that masterfully combines moderate strength, athletic prowess, and an inherent nobility in its graceful lines. Every aspect of their build speaks to a heritage of dedicated fieldwork.

Their signature coat is a harsh, dense, and wiry outer layer over a softer undercoat, providing exceptional protection against harsh weather and challenging terrain. While often referred to simply as ""grey,"" this coloration encompasses a range of shades from light to dark grey, frequently appearing as a distinctive roan or grizzle pattern that offers superb camouflage in the field.

Bred for the diverse landscapes of Slovakia, the SHS is incredibly fit and versatile, excelling in various hunting environments. Whether ranging across open plains, navigating dense woodlands, or retrieving from icy waters, they demonstrate unwavering stamina and capability. Their most crucial role is working after the shot, tirelessly searching for and meticulously retrieving wounded game. This showcases their keen scenting ability, perseverance, and the gentle mouth necessary for delicate recovery. They are truly an all-round hunting companion.

Beyond their formidable working drive, the Slovakian Wirehaired Pointer is highly valued for its temperament. They are intelligent, eager to please, and remarkably obedient, making them relatively easy to train for experienced handlers. Their biddability means they respond well to consistent, positive reinforcement, forming strong, loyal bonds with their families. For an active owner who can meet their significant exercise requirements and provide consistent mental stimulation, the SHS transitions seamlessly from a diligent field worker to a devoted and affectionate household companion. They thrive when given a purpose, whether in the field or through engaging dog sports.",,,57.15,67.31,22.68,29.48,12,15,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,1,Outgoing
Slovensky Cuvac,"The Slovensky Cuvac is a magnificent mountain dog, embodying the rugged spirit of its Slovakian homeland. With a firm constitution, strong bone structure, impressive appearance, and a distinctive thick white coat, this breed is perfectly adapted to the harsh climates of the Carpathian mountain range, particularly the Tatra Mountains.

For centuries, the Cuvac has served as a devoted guardian of livestock and property. Its lively yet resolute temperament is characterized by unwavering vigilance, fearlessness, and alertness. Boundlessly faithful and courageous, these dogs are renowned for their readiness to confront any intruder, whether human, bear, or wolf, protecting their charges with fierce dedication.

The breed's name itself, ""Cuvac,"" derived from the Slovak word for ""to hear,"" speaks to its exceptional auditory senses and constant watchfulness. According to ancient tradition, the Slovensky Cuvac is exclusively bred in white. This vital characteristic allowed shepherds to easily distinguish their loyal protectors from wild predators under the cover of night, a testament to their indispensable role in the challenging mountain environment.","Courageous, Alert, Faithful",,58.42,69.85,30.84,44.00,11,13,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.4,Calm,,,,
Slovensky Kopov,"The Slovensky Kopov, also known as the Slovakian Hound or Slovak Hound, is a distinguished medium-sized scent hound celebrated for his robust yet agile build. His striking coat is a hallmark of the breed: dense, close-fitting, and of medium coarseness, always presented in a solid black with distinctive tan markings.

Beyond his handsome appearance, the Slovensky Kopov is renowned for his exceptional intelligence and an unparalleled sense of smell and direction. Bred in Slovakia specifically for hunting wild boar, this breed embodies the spirit of a true working dog. He is a spirited, persistent hunter, capable of following a scent trail for hours with unwavering focus.

Where known, the Slovensky Kopov dominates the hunting scene, a testament to his incredible endurance, formidable character, and immense courage. A hardy and hardworking companion in the field, his dedication and fearlessness make him an invaluable asset to any hunter. This breed truly exemplifies the pinnacle of scent hound capabilities.","Courageous, Alert, Determined",,40.64,50.8,14.97,19.96,12,13,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,,,,
Small Munsterlander Pointer,"The Small Munsterlander Pointer, known as the **Kleiner Münsterländer** in its native Germany, is a highly intelligent and versatile gundog renowned for its exceptional field performance and amiable nature.

This breed embodies a passionate and persevering predatory instinct, making them extremely adept hunting companions. They are natural retrievers with a medium range, possess a solid pointing instinct, and demonstrate an unwavering desire for water work. Their excellent tracking abilities are invaluable for all types of post-shot work, enhanced by their remarkable intelligence and trainability. During the off-season, Small Munsterlanders excel in various dog sports, including agility, obedience, and retrieving or hunting tests and trials, showcasing their broad capabilities.

Beyond the field, the Small Munsterlander possesses a full, even, and steady temperament. They are alert and exceptionally friendly towards people, making them an ideal choice for family life. With good social behavior and a strong pack instinct, they thrive in outdoor-oriented families who can provide companionship and activity. They form a deep bond with their master, often found sleeping close by (or even on) their feet, demonstrating their loyal and affectionate nature.

For those seeking a dedicated hunting partner and a devoted family member, the Small Munsterlander offers the perfect blend of drive, intelligence, and companionship.

","Intelligent, Devoted, Self-Confident",,52.07,53.34,18.14,27.22,12,14,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly
Smooth Fox Terrier,"The Smooth Fox Terrier, often affectionately called the ""gentleman of the terrier world,"" is a lively and gregarious breed renowned for its spirited, devil-may-care attitude. Developed in Britain specifically for traditional foxhunts, these clever and tenacious hunters are a fascinating blend of strength, sturdiness, and unwavering grace.

Closely related to their crisp-coated cousins, the Wire Fox Terriers, Smooths stand no more than 15.5 inches at the shoulder. Their dense, flat coat is predominantly white, often adorned with striking black, tan, or striking black-and-tan markings. While sharing many characteristics with the Wire, a key distinguishing physical trait is the head: a Smooth’s head presents a more refined V-shape compared to the Wire’s.

Beautifully short-backed and symmetrical, the Smooth Fox Terrier moves with the precise, rhythmic grace of a pendulum clock. Despite their robust and agile build, they are never coarse or clunky, embodying a perfect balance of power and elegance. This intelligent and charismatic breed combines the alertness of a keen hunter with the charm of a devoted companion, making them a captivating and dynamic presence.","Friendly, Independent, Amusing",123,38.1,38.1,6.80,8.16,12,15,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.8,Friendly
Soft Coated Wheaten Terrier,"Meet the Soft Coated Wheaten Terrier, a joyous, spirited companion whose hallmark is a magnificent, silky coat that shimmers from pale beige to golden 'wheaten' hues, reminiscent of ripening wheat fields. This unique, low-shedding coat is wonderfully soft to the touch, earning them the description ""an iron fist in a velvet glove"" – a nod to their robust terrier nature hidden beneath a luxurious exterior. While beautiful, it does require consistent grooming to prevent matting.

Beneath that delightful 'peek-a-boo' hairdo and dashing goatee, you'll find a square, sturdy, hard-muscled terrier. Standing up to 19 inches tall and weighing around 40 pounds, Wheatens are built for work and play.

True to their roots as exuberant Irish farm dogs, Wheatens are known for their happy, friendly, and deeply devoted personalities. They greet life with an infectious enthusiasm, often expressing their joy with the famous 'Wheaten Greetin'' – an enthusiastic jump and lick. While affectionate and eager to please, don't forget the 'terrier' in their name; they possess just enough intelligence and charming stubbornness to remind you of their heritage. They thrive on activity and being an integral part of the family, making them a truly special and engaging companion.","Friendly, Happy, Deeply Devoted",53,43.18,48.26,13.61,18.14,12,14,Terrier Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
Spanish Mastiff,"The majestic Spanish Mastiff is a dog of imposing size, remarkable power, and balanced musculature. Adorned with a massive head and a medium-length coat, his presence is undeniable. Perhaps most striking is his raucous, deep, and incredibly sonorous bark, audible from a considerable distance – a true alarm signal. This impressive guardian comes in a beautiful array of coat colors, including black, fawn, red, gray, and yellow, often enhanced with brindle patterns or white markings.

Historically, the Spanish Mastiff’s destiny was intertwined with the seasonal movement of livestock. In the Middle Ages, these dogs famously accompanied the Merino sheep of the ""Mesta,"" an association of ranchers who traversed vast distances for grazing. Their crucial role was to defend the flocks against wolves and other predators throughout these arduous journeys. Today, whether living sedentarily or on the move, the Spanish Mastiff continues to excel as a dedicated protector of farms, people, and property.

Beyond his rustic strength, the Spanish Mastiff is an intelligent, affectionate, kind, and noble companion. His expression often reflects both his keen mind and inherent beauty. While gentle and loyal with his family, he is unwavering and determined when faced with perceived threats or strangers, especially when guarding his home or livestock. This self-assured breed understands its immense power, using it judiciously to defend and protect.

","Affectionate, Intelligent, Kind",,71.12,88.9,63.50,90.72,10,12,Foundation Stock Service,,,0.6,Seasonal,0.4,Calm,,,,
Spanish Water Dog,"The Spanish Water Dog (SWD) is an incredibly distinctive breed, immediately recognized by its hallmark coat. More than just curly, their dense, wooly fur covers them from head to toe, naturally forming unique, tightly tapered cords when grown out. This unique texture contributes to their endearing, shaggy appearance, with facial hair often gracefully draping over their expressive brown eyes, embodying a truly ""rustic"" charm.

Their coat comes in a variety of colors, including solid black, rich brown, warm beige, and pristine white, as well as striking particolor combinations of black, brown, or beige with white markings. Beneath this captivating exterior lies a sturdy, medium-sized dog built for purpose. Males typically stand a little under 20 inches at the shoulder, reflecting a compact yet powerful physique.

Known for their inexhaustible energy, the SWD is a versatile, dual-purpose breed from Spain, historically invaluable as both an agile herder of livestock and a tenacious waterfowl retriever. This rich working heritage contributes to their lively, intelligent, and adaptable disposition. Beyond their tireless work ethic, they make devoted family companions and vigilant watchdogs, always alert and ready to protect their home. Their energetic nature and sharp mind mean they thrive on ample physical activity and mental stimulation, making them a rewarding addition to an active household.",Playful but also Work-Oriented. Very Active and Upbeat.,153,40.005,50.165,14.06,22.23,12,14,Herding Group,1,Specialty/Professional,0.2,Infrequent,0.8,Energetic,1,Eager to Please,0.4,Reserved with Strangers
Spinone Italiano,"Hailing from ancient Italy, the Spinone Italiano (plural: Spinoni Italiani) is a robust and enduring hunting companion. This squarely built, muscular breed is designed for stamina over speed, making it an excellent all-around hunter. Their dense, naturally shaggy coat, which requires minimal grooming, comes in a variety of classic colors and patterns.

What truly sets the Spinone apart is its captivating face, exuding an undeniable Old World charm. Their soft, deeply expressive eyes, framed by shaggy brows and a distinctive tufted beard, are instantly endearing – a look that has captivated hearts in Italy for centuries and is now winning fans worldwide.

Beneath their rustic exterior lies a heart of gold. Spinoni are renowned for their sociable, docile, and patient nature, making them wonderful family companions. While they can sometimes display a touch of charming Italian stubbornness, their loyal and affectionate disposition always shines through. As one of Continental Europe's most versatile field dogs, the Spinone's ancient lineage speaks to its enduring capability as a devoted working partner.","Sociable, Patient, Docile",109,55.88,68.58,,,10,12,Sporting Group,0.4,Weekly Brushing,,,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive
Stabyhoun,"The Stabyhoun, a functional and powerfully-built pointing dog from the Netherlands, is celebrated for its versatility and affectionate nature. Historically bred by farmers to hunt moles and rabbits independently, this breed retains a strong prey drive. Don't be surprised if your Stabyhoun investigates independently, perhaps by digging in the garden! This inquisitive nature also means they can get into mischief quickly, so consistent guidance and supervision are key.

Despite their independent streak, Stabyhouns are largely obedient, gentle, and patient dogs. They are deeply devoted to their families and eager to please, making them wonderful lifelong companions. They are alert guardians, quick to make noise if something is amiss, often expecting their owners to investigate thoroughly before settling down.

As a true ""all-around"" dog, the Staby excels in hunting, retrieving, and pointing. He is a sharp-eyed, soft-mouthed retriever particularly adept at water work, making him invaluable for ducks and upland birds.

Physically, the Stabyhoun is longer than it is tall, with a head that also emphasizes length. While feathering on the chest, collar, forelegs, ""trousers,"" and tail gives a longhaired impression, their coat is not excessively long. The most common color is black and white, though brown and white is also seen. The orange and white Stabyhoun is now exceedingly rare. Their moderate size and gentle disposition make them ideal family dogs.

","Intelligent, Responsive, Loving",,48.26,53.34,18.14,27.22,13,15,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive
